models,test_loss,test_auc,test_precision,test_recall,test_f1,test_sn,test_sp,test_accuracy,test_mcc,test_runtime,test_samples_per_second,test_steps_per_second
tape,0.693148673,0.5,0.498957005,1,0.665738915,0.498957005,0,0.498957005,0,739.9707,233.225,29.154
tape_freeze,0.182806507,0.934549339,0.92826067,0.941563117,0.9348-645750458334,0.92826067,0.927535561,0.934534709,0.869161628,738.5142,233.685,29.211
esm2_t6, 0.181810662150383,0.9344497190324751,0.9333897303373391,0.9353733596562537,0.9343804922188129,0.9333897303373391,0.9335260784086966,0.9344477923281956,0.8688975481449908,353.1484,488.69,61.088
esm2_t6_freeze, 0.18039792776107788,0.9351259937020373,0.9252770460532291,0.9463593078620369,0.93569944081478,0.9252770460532291,0.9238926795420377,0.9351025611310696,0.8704357237252927,348.8341,494.734,61.843
esm2_t12, 0.18587535619735718,0.9326945578885715,0.9243195825785798,0.942213447915457,0.9331807438163865,0.9243195825785798,0.9231756678616861,0.9326747015876695,0.8655157551918945,451.0413,382.626,47.829
esm2_t12_freeze, 0.18215541541576385,0.9344411378363839,0.9250511479881791,0.9451399372895134,0.9349876500660577,0.9250511479881791,0.9237423383832543,0.934418820257272,0.8690470744525733,255.6253,675.129,84.393
esm2_t30,0.69315362,0.5,0.498957005,1,0.665738915,0.498957005,0,0.498957005,0,1023.1607,168.673,21.085
esm2_t30_wt, 0.6937058568000793,0.4862048848769322,0.48963074970423937,0.7257577517129253,0.5847567451239083,0.48963074970423937,0.24665201804093906,0.4857051802062811
esm2_t30_freeze,0.193505883,0.930287088,0.918468804,0.944025084,0.931071609,0.918468804,0.916549092,0.930258431,0.860856221,1040.576,165.85,20.732
esm2_t33_freeze,0.590189874,0.681609741,0.713917314,0.60441296,0.654617262,0.713917314,0.758806522,0.681770773,0.367670919,2423.9286,71.198,8.9
protbert_bfd,0.693149388,0.5,0.498957005,1,0.665738915,0.498957005,0,0.498957005,0,1797.8486,95.993,11.999
protbert_bfd_freeze,0.232805029,0.908279463,0.917552844,0.89680641,0.907061014,0.917552844,0.919752515,0.908303396,0.81680533,1767.8983,97.619,12.203
tape_rnn_freeze_9_epochs,0.216912627,0.939302036,0.944656735,0.933039136,0.938811996,0.944656735,0.945564936,0.9393151,0.878692744,581.2714,296.901,37.113
