,Accuracy,Precision,Recall,F1-score,AUC,MCC
ESM2(t6),0.9344477923281956,0.9333897303373391,0.9353733596562537,0.9343804922188129,0.9804603114342293,0.8688975481449908
ESM2(t6)-Freeze,0.9351025611310696,0.9252770460532291,0.9463593078620369,0.93569944081478,0.9812083633536419,0.8704357237252927
ESM2(t6)-GAS,0.8986209294240353,0.8966127167630058,0.9006735570781559,0.8986385493308615,0.9602261164979528,0.7972510309113314
ESM2(t6)-Freeze-GAS,0.8868756518715958,0.8913429327064355,0.8806294274764835,0.8859537926804335,0.952008480483376,0.7738003255133455
ESM2(t12),0.9326747015876695,0.9243195825785798,0.942213447915457,0.9331807438163865,0.9799300443489161,0.8655157551918945
ESM2(t12)-Freeze,0.934418820257272,0.9250511479881791,0.9451399372895134,0.9349876500660577,0.9807811168883002,0.8690470744525733
ESM2(t12)-GAS,0.9010487889674353,0.9279205564027225,0.8692021832539775,0.8976021010847209,0.9655472560942241,0.8036750534175908
ESM2(t12)-Freeze-GAS,0.8804960018542125,0.8556006863745954,0.9148995470909302,0.8842570767952949,0.9474990378302826,0.762851628643923
ESM2(t30),0.4989570054467493,0.4989570054467493,1.0,0.6657389153040318,0.4998986035555496,0.0
ESM2(t30)-Freeze,0.9302584308726388,0.9184688043748447,0.9440250841946348,0.9310716085582078,0.9786077309170053,0.8608562206579472
ESM2(t30)-GAS,0.9089697531579557,0.9166863961361806,0.8992916037626292,0.9079056897986939,0.9674545681771429,0.8180782205427729
ESM2(t30)-Freeze-GAS,0.8565418936145556,0.8156032017119694,0.9206247822552549,0.8649377004822485,0.9311917885306414,0.7191178226075284
ESM2(t33),0.4989570054467493,0.4989570054467493,1.0,0.6657389153040318,0.4785176694543142,0.0
ESM2(t33)-Freeze,0.6817707729748522,0.7139173136539464,0.604412960167228,0.6546172615903203,0.7612727836329738,0.36767091882002206
ESM2(t33)-GAS,0.6767006605632171,0.631234902466688,0.8466728602949716,0.7232514421479199,0.7441768131582513,0.37632368084434376
ESM2(t33)-Freeze-GAS,0.673826631127593,0.6254469882457867,0.8632563000812914,0.7253575070379242,0.7513865242680107,0.3762565901603683
TAPE,0.4989570054467493,0.4989570054467493,1.0,0.6657389153040318,0.5110771236996439,0.0
TAPE-Freeze,0.9341696604473287,0.9276209654351781,0.9415282777842294,0.934522883275412,0.980862171754812,0.868440051529141
TAPE-GAS,0.937124811681539,0.9290364509104176,0.9462664034374637,0.9375722742884759,0.98257473648328,0.8744036847295358
TAPE-Freeze-GAS,0.8913605284505737,0.8851180607169401,0.8989432121704796,0.8919770691095554,0.956363532719485,0.7828222711639552
ProtBert,0.4989570054467493,0.4989570054467493,1.0,0.6657389153040318,0.4785176694543142,0.0
ProtBert-Freeze,0.9083033955267122,0.9175528438862683,0.8968064104052955,0.9070610137837474,0.9673225196250457,0.8168053301955162
ProtBert-GAS,0.913784911345463,0.9569311694143307,0.8661944025084195,0.9093048063149554,0.9766871660265161,0.8312662659583053
ProtBert-Freeze-GAS,0.786383126665894,0.7332821708070415,0.8987922424805481,0.8076449471970614,0.8669395185964438,0.5880621057245331
